Sample,Ground Truth,Prediction,WER
833,experiencing turbulence request,yes we are stable and we cli,233.33
763,understood,aero flot,200.0
1327,inbound tusin,three five two seven,200.0
1822,climb level,climbing flight level eight zero,200.0
2502,bye,nine five,200.0
650,papa,p alfa,200.0
2050,lima,lima alfa india,200.0
1868,tower,sorry tower sev,200.0
364,k klm,ok klm one five five,200.0
1922,ven three charlie,seven three charlie ahoj speed bird air,166.67
1664,two alfa charlie,four six one air berli,166.67
1499,thank you,k kilo papa thank you,150.0
292,sierra five,and klm one five,150.0
1668,feet procee,cleared for ta,150.0
2112,climbing level,climbing three one lu,150.0
1745,praha lufthansa,tower letko pa,150.0
186,ntinue approach,cleared for takeoff,150.0
1561,number one golf bravo,air berlin one two eight lima echo bravo,150.0
1045,go intercept,cleared at the,150.0
720,luft transport,to tango fiv,150.0
2781,fomring qu,affirm thank you,150.0
307,is on,wizz air four,150.0
2159,praha radar,praha radar good day romeo,150.0
2000,eft for seque,left four si queb,133.33
2577,after makal direct osk,parture mike alfa yankee oscar,125.0
59,changing ground runway vacated,changing ground ahoj we ll be located,125.0
2182,beste schone heli oscar zulu,cleared to chalet november lufthansa two,120.0
2423,flight level three two zero,right to flight level three four zero that was reported,120.0
2365,on board qnh one zero,aero flot two nine seven si,120.0
1031,radar good level three five zero to odnem,radar good morning china six quebec uniform we re descending flight level three five zero to odnem,112.5
1005,padka,papa,100.0
1117,sim,kem,100.0
474,lining one,praha lima,100.0
882,it s a brauns,to ground tra,100.0
490,five,five o,100.0
817,right thanks,right thank you,100.0
1792,climbing two eight z,line up runway two eight,100.0
41,descen,affirm,100.0
1473,one zero seven papa further descent,squawking one zero seven papa to the left hand cli,100.0
1655,one two one nine thank you,one two one nine thank you bye bye lufthansa four kilo papa,100.0
799,nue approach and,approaching,100.0
274,perfect,affirm,100.0
1482,we re maintain five,britair five ni,100.0
2429,nine six t,affirm,100.0
1265,correctio,correction,100.0
2830,hotel golf oscar,in time now hotel golf oscar,100.0
269,calibra four zero established ils three one,cleared to land calibra four zero establish ils three one at minimum climbin,100.0
2320,is below expect descend,klaxo echo airspace bellow expect descend,100.0
715,whiskey golf papa,to kilo oscar,100.0
2094,runway,praha runway,100.0
2675,roger copied,roger copy it,100.0
2169,to quebec aerosvit,cleared to land,100.0
942,holding,roger,100.0
306,d level three zero zero,easy one three it s also,100.0
1063,via right turn for departure,ok what s any chance via right turn for departure,100.0
1496,praha lufthan,praha lufthansa seven,100.0
2874,ix zero,six zero nikolai,100.0
820,est flight,ect vlm,100.0
2349,but,bye,100.0
1146,tel aviv,shamrock eight,100.0
2361,kilo,ven kilo,100.0
788,tinue,zero,100.0
2022,bline two l,two nine three,100.0
2310,brek,correct,100.0
561,full establish ils three on,sa five four established ils three one,100.0
472,correct,correct sir,100.0
829,heading si,scending six,100.0
680,mike descen,keep mike standi,100.0
2662,approv,approved,100.0
2466,golf good evening radar contact,ryan air seven romeo golf good evening radar radar contact,100.0
