Sample,Ground Truth,Prediction,WER
2051,praha good,the papa alfa alfa alfa alfa alfa alfa alfa alfa alfa alfa alfa alfa alfa,750.0
828,hotel,so thank you very much thank you,700.0
2647,tower csa,over to november oscar romeo tango hotel echo alfa sierra tango a uh,650.0
650,papa,bravo yankee echo bravo yankee echo,600.0
1999,three,thank you thank you thank you,600.0
2616,november bye bye,bravo yankee echo bravo yankee echo bravo yankee echo bravo yankee echo bravo yankee echo bravo yankee echo,600.0
774,visual approach,your approach thank you for your attention thank you for your attention,550.0
296,kilo level three,lima oscar whiskey kilo echo yankee lima oscar whiskey lima echo victor echo lima two,466.67
2203,heading three four zero,heading tango hotel romeo echo echo foxtrot oscar uniform romeo zulu echo romeo oscar tango echo november,400.0
2361,kilo,have a key to,400.0
1868,tower,thats how its done,400.0
1310,lufthansa,what time is it,400.0
1005,padka,thank you thank you,400.0
1047,zero nine five next call,zulu echo romeo oscar echo india golf hotel tango foxtrot india victor echo sierra india xray oscar november echo,380.0
1654,praha radar csa,romeo two bravo im proud of you now csc this is,366.67
1601,control bline five tango hotel flight level three three zero,control to the bravo lima india november echo foxtrot india victor echo tango alfa november golf lima echo delta alfa lima papa hotel alfa hold tango hotel romeo echo echo tango hotel romeo echo echo zulu echo romeo oscar,360.0
1496,praha lufthan,i have to put it on standby,350.0
756,sa four echo lima one three two one five five,tango echo november tango whiskey yankee charlie oscar lima india mike alfa oscar november echo tango hotel romeo echo echo tango whiskey oscar oscar november echo foxtrot india victor echo foxtrot india victor echo ahoy,340.0
2690,expediting speed reduction,expert idea mike india delta sierra papa echo echo delta reduction,333.33
45,lot five two fi,thatll look foxtrot india victor echo tango whiskey oscar foxtrot india victor echo,325.0
904,three five mile copy air france two four eight two,tango hotel romeo echo echo foxtrot india victor echo miles copy ive found tango whiskey oscar foxtrot oscar uniform romeo echo india golf hotel tango tango whiskey oscar tango hotel romeo echo echo,320.0
258,oscar kilo lima india november,november nine well be back in a few minutes well be back in a few minutes,320.0
1705,ok three four nine two five fedex,okay tango hotel romeo echo echo foxtrot oscar uniform romeo november india november echo tango whiskey oscar foxtrot india victor echo cedex,314.29
472,correct,go ahead scott,300.0
1499,thank you,go ahead just get it up thank you,300.0
1180,kilo,thank you all,300.0
2159,praha radar,all right ill go right now,300.0
663,reaching,on the jank,300.0
2692,three,film didnt it,300.0
2654,departure,departure over to you,300.0
364,k klm,get up and have a ride,300.0
14,expediting,thanks for writing,300.0
2907,bye bye,bravo yankee echo bravo yankee echo,300.0
29,oger climb level,ill be upsetting them as soon as i can,300.0
1546,tower eighteen one csa nine delta sierra,that would have been a lot of fun but i dont know if it would have been more than that,285.71
1373,climb flight level three three zero,five five level three three zulu echo romeo oscar echo mike uniform lima alfa tango india oscar november five five,283.33
2885,csa two nine six ruzyne tower,well just just say tango whiskey oscar november india november echo romeo sierra india xray whos it,283.33
214,oscar kilo hotel uniform u,how much time do we have to wait until the end of the video,280.0
1042,climb flight level one,five lima alfa victor alfa one mike india november uniform tango echo,275.0
762,decimal nine beair five,on the small line and ill see if we are fine,275.0
1561,number one golf bravo,and we want to thank you for your help as well,275.0
133,praha oscar kilo alfa lima zulu i am ready to,for those who want to see more videos like this please subscribe to our channel and press the bell icon to receive notifications when new videos are uploaded,270.0
376,praha radar csa,charlie that will be your chair see you,266.67
2603,six romeo arrival,thanks for watching and see you next time,266.67
306,d level three zero zero,this is a papa romeo echo sierra oscar uniform romeo charlie echo or,260.0
403,runway three one beline three papa p,cessna runway three one bravo lima india november echo three bravo uniform hotel bravo uniform hotel bravo uniform hotel bravo uniform hotel,257.14
2720,csa eight five seven radar radar contact descend flight level one four zero,just head faster on the romeo echo alfa delta india november whiskey romeo india tango echo delta oscar whiskey november whiskey romeo india tango echo delta oscar whiskey november to contract descent to flight level one four zero,253.85
150,csa nine seven five,if you dont have a flight ill be a chair,250.0
143,jobair zero five papa,youre better than a foxtrot bravo bravo bravo bravo bravo,250.0
2675,roger copied,how did you copy it,250.0
2348,for takeoff victor tango charlie alfa papa bye,thanks for the tango alfa kilo echo oscar foxtrot foxtrot well see you next time bravo yankee echo bravo yankee echo,250.0
518,ruzyne tower,i thought youd told him,250.0
2129,praha lufthansa three uniform alfa flight level,auto with the end of terms at three youll be for my first flight i will see you later,242.86
1438,oscar kilo echo uniform u,do you think that the uniform is the same as the other one,240.0
390,sierra papa sierra,is the camera still on the channel,233.33
833,experiencing turbulence request,yes we are stable and were clear,233.33
550,three seven fi,so nice to see you so far,233.33
2569,praha radar spee,alright i dont prefer to just be,233.33
919,runway one three cleared for takeoff csa nine seven four,runway one three four alfa charlie oscar charlie sierra alfa november alfa sierra alfa foxtrot oscar november alfa sierra alfa sierra hotel alfa november alfa sierra,230.0
39,oscar kilo golf ae,i want to cut you a goal for that,225.0
909,swiss one two four bravo fly heading zero four zero vectoring ils three one,season tango whiskey oscar foxtrot oscar uniform romeo bravo flight ring zulu echo romeo oscar foxtrot oscar uniform romeo zulu echo romeo oscar vectoring color tango hotel romeo echo echo oscar november echo,221.43
1324,copy maintaining present heading and cross localizer,copy maintaining present heating and charlie romeo oscar sierra sierra lima oscar charlie alfa lima india zulu echo romeo,214.29
2783,to echo airspace easy four charlie bravo bye,go to earth go to space this is a foxtrot uniform lima lima tango india mike echo evaluate,212.5
1196,lufthansa three alfa november direct kolad thank you,lufthansa three i have one of them i dont know if i caught one or not check it out,212.5
2764,one nine zero one one nine zero csa five delta romeo,november one nine november one nine november one nine november one nine november one nine cessay p n o t o n a f a f a f,209.09
1208,foxtrot,fox five,200.0
775,o speed restricti,ill see you next week bye,200.0
2768,five zero two,bye for now bye for now,200.0
2830,hotel golf oscar,inside now hot dog hot dog,200.0
2384,roger standby,ill just stand by,200.0
598,five papa charlie,uh lights up at one zero,200.0
2544,ruzyne tower,i dont have power,200.0
130,say again for startup who wanted star up,say again for sierra tango alfa romeo tango uniform papa who wants to sierra tango alfa romeo tango uniform papa,200.0
484,csa three delta echo il,and were going to pull into fuse eight three for delta echo five,200.0
2223,zero,get out,200.0
635,ruzyne tower lufthan,thats how i looked at it,200.0
2718,affirm,bye sam,200.0
1049,maintaining flight level,thats it its life to live,200.0
1943,cleared for runway three one csa three five delta,its going to retrieve us here say tango hotel romeo echo echo foxtrot oscar uniform romeo roger that,200.0
1372,nine zero,united youre up okay,200.0
707,oscar kilo hotel uni,go go go go go go go go,200.0
763,understood,ill just,200.0
2426,reducing to minimu,radio seven come in and move,200.0
2626,radar five four eight,ill be right back ill be right back,200.0
538,baltic triple two,thank you thank you thank you,200.0
720,luft transport,thank you thanks for,200.0
1774,decimal,thats it,200.0
2868,csa nine zero four ruzyne tower,if an angel is your father to say that would be done,200.0
229,heading two,i think uh two uh,200.0
669,feet voz one bravo,and ill see you in the next video,200.0
2124,roger and,what to do and uh,200.0
1712,continue,thank you,200.0
1014,csa seven two si,yes stay still to see whats going on,200.0
818,even bye bye,bravo yankee echo bravo yankee echo,200.0
305,zulu bye bye,bravo yankee echo bravo yankee echo,200.0
357,csa nine,thank you see ya,200.0
2135,canforce,can force,200.0
194,sierra papa sierra,see you later papa see you soon,200.0
2344,wizz air,company that was there,200.0
1664,two alfa charlie,thats what im trying to do,200.0
1934,delta,out there,200.0
1046,ruzyne tower,how does the air tower,200.0
1146,tel aviv,thank you thank you,200.0
1186,ruzyne tower csa seven three zero we re rejecked takeoff,radio this is csa seven three zulu echo romeo oscar zulu echo romeo oscar reject tango alfa kilo echo oscar foxtrot foxtrot,190.0
1031,radar good level three five zero to odnem,radio good one is showing suspect here in form with a standing power of three five zero top,187.5
1947,austrian five two hotel juliett level three five zero standing by for descent,ill send foxtrot india victor echo tango whiskey oscar then two left over tango hotel romeo echo echo foxtrot india victor echo zulu echo romeo oscar standing by for descent,184.62
1263,ruzyne hello speed bird eight s,president hello its me bravo india romeo delta echo yankee echo sierra,183.33
2334,runway three one cleared for takeoff csa one nine six two,runway three one cleared for takeoff csc one one csc two delta echo charlie oscar november sierra tango romeo uniform charlie tango india oscar november on the screen,181.82
570,oscar kilo k uniform november,oskar what do you have in front of you,180.0
459,lufthansa five mike echo descend,its not the fast way to go to s,180.0
2753,speed two two zero knots csa three zero three,speed two two zero knots yes say tango hotel romeo echo echo zulu echo romeo oscar tango hotel romeo echo echo,177.78
217,zulu hotel hold short of lima quality eight ni,papa sierra echo uniform delta oscar whiskey india tango tango echo romeo hot shot of lima quality hotel nine,177.78
1748,csa nine seven six contact radar one two seven decimal eight two five,charlie sierra alfa november romeo sierra seven six charlie romeo echo delta alfa romeo one two seven delta alfa charlie mike lima alfa two five november sierra hotel november oscar,176.92
735,foxtrot radar one eighty,fox three is back speed one eight zero,175.0
2014,lufthansa six mike alf,loops one zero zero six to my go,175.0
293,csa one nine six two ruzyne tower roger,to save on the nine zero six two to the data would have to be done richard,175.0
1278,followed standard arrival track,full stand over have a good night,175.0
1792,climbing two eight z,nine oclock nine oclock one one two eight,175.0
1475,tower csa nine one six holding point three one ready for depar,the agency is saying another oscar november echo sierra india xray solid point tango hotel romeo echo echo oscar november echo ready for departure,175.0
346,good day bye bye,okay good day bravo yankee echo bravo yankee echo,175.0
1707,inbound oscar kilo xray,but ill check it out next time,175.0
2005,right via delta one two one ni,i swear delta one one two three four five six seven eight nine ten eleven,171.43
1920,praha approach csa nine two seven passing,approach is alfa nine two seven to bravo mike bravo alfa foxtrot foxtrot india november,171.43
1631,radar csa nine,weve changed our csc now,166.67
1473,one zero seven papa further descent,for the new form zero seven papa ill tell you the same thing,166.67
