Sample,Ground Truth,Prediction,WER
201,jetstar nine twelve,air france one two four,166.67
1497,thank you,six kilo papa thank you,150.0
1144,tel aviv,tion zero eight,150.0
186,ntinue approach,cleared for takeoff,150.0
473,lining one,praha radar lima,150.0
1325,inbound tusin,five two seven,150.0
980,cleared ils,three charlie zulu,150.0
120,baltu four,one four and one,150.0
831,experiencing turbulence request,yes we are established,133.33
537,baltic triple two,two hotel kilo golf,133.33
2317,is below expect descend,klm one zero three three,125.0
1061,via right turn for departure,ok one two seven eight so via right turn for departure,120.0
1029,radar good level three five zero to odnem,radar good morning china six quebec uniform we re descending flight level three five zero to odnem,112.5
1865,tower,sorry tower,100.0
1742,praha lufthansa,praha radar contact,100.0
1851,well there s marchall on it s way and in zurich it is handled like this all the time but it s any second with you,air berlin,100.0
2777,fomring qu,affirm,100.0
1819,climb level,climbing flight level,100.0
2398,approach runway,approach and wai,100.0
560,full establish ils three on,sa five four established ils three one,100.0
1997,eft for seque,left four feet,100.0
2658,approv,approved,100.0
649,papa,p,100.0
2392,one one eight one,via nav checker,100.0
1661,two alfa charlie,four six one,100.0
2419,flight level three two zero,lot five level three four zero was reported,100.0
679,mike descen,keep mike descend,100.0
704,one second,romeo golf,100.0
2307,brek,correct,100.0
714,whiskey golf papa,three three golf,100.0
2425,nine six t,and i say,100.0
719,luft transport,to,100.0
662,reaching,ne reaching,100.0
1945,bee line three seven,three one csa,100.0
549,three seven fi,one eight three seven five,100.0
307,is on,three zero,100.0
2179,beste schone heli oscar zulu,hotel sierra november,100.0
2166,to quebec aerosvit,cleared to land,100.0
2132,canforce,kenforce,100.0
2121,roger and,two two and,100.0
2109,climbing level,climbing straight one,100.0
2108,to fligh,clear to fly,100.0
2091,runway,praha runway,100.0
2357,kilo,ven,100.0
2721,runway three one cleared to land swedestar zero five o,tower csa six two seven,100.0
463,two five,two five and then,100.0
2675,start and push approved easy three,praha radar,100.0
2071,papa descend,p,100.0
471,correct,correct sir,100.0
2036,wizz air four,two zero four ei,100.0
489,five,five o,100.0
2019,bline two l,two nine three,100.0
2363,from,from vlm,100.0
258,oscar kilo lima india november,yanair nine alfa charlie oscar kilo lima november,100.0
91,at base,f,100.0
1931,delta,k,100.0
59,changing ground runway vacated,change in ground,100.0
2688,three,three hundred,100.0
2498,bye,nine bye,100.0
998,to four,two four three,100.0
2573,after makal direct osk,parture mike alfa direct,100.0
1115,sim,kem,100.0
1111,rapet one tw,good day,100.0
1101,first left,affirm,100.0
212,four thousand,seven four thousand one,100.0
2906,ready for departure,ive and fully ready for departure,100.0
979,departure,departure swiss,100.0
1263,correctio,correction,100.0
1065,sixty,sixteen,100.0
880,it s a brauns,to ground,100.0
2462,golf good evening radar contact,ryan air seven romeo golf good evening radar radar contact,100.0
41,descen,affirm,100.0
827,heading si,standing six,100.0
826,hotel,bravo,100.0
852,hotel yankee saint martin six five thousand feet for landing fato,lionki shamrock six five seven five on the three two zero five for landing fato,100.0
1043,go intercept,clear,100.0
786,tinue,zero,100.0
1531,call you back,kilo,100.0
2826,hotel golf oscar,in time now hotel golf oscar,100.0
761,decimal nine beair five,nine three we are five,100.0
2461,time air s,and is ro,100.0
940,holding,praha,100.0
815,right thanks,right thank you,100.0
1003,padka,p,100.0
470,sion heli hotel bravo zulu charlie zulu we just upon val d annivier low altitude for hook mission established for one low altitude,charlie zulu southbound one ninety at low altitude for the hotel malaisian seven echo one we are in the field,91.3
276,lot four one two six maintaining flight level two nine zero,one two six one three and flight level three nine zero for the descent three,90.91
1292,line up runway one three csa four ni,praha radar csa five,87.5
230,cleared to destination one two two bravo,and kenok one two two bravo is squawking si,85.71
1732,direct to isama beline five three delta,three two eight one bee line five three delta,85.71
1674,two to chance any short cut,two two you have any shortcut,83.33
951,swiss four seven three c,is four seventy charlie,80.0
2611,zero three golf no speed,two eight three golf,80.0
2300,seven two seven good bye,bye bye,80.0
